"","file","rate","title"
"234","16137.txt","FAILURE"," the hoyden "
"235","16836.txt","FAILURE"," ""mark hurdlestone or"
"236","18280.txt","FAILURE"," enter bridget "
"237","20835.txt","FAILURE"," ""the monctons: a novel"
"238","23010.txt","FAILURE"," ""gulmore"
"239","23012.txt","FAILURE"," elder conklin "
"240","726.txt","FAILURE"," a psychological counter-current in recent fiction "
"241","1074.txt","SUCCESS"," the sea wolf "
"242","1162.txt","SUCCESS"," the jacket (star-rover) "
"243","1595.txt","SUCCESS"," whirligigs "
"244","1601.txt","SUCCESS"," the breaking point "
"245","1646.txt","SUCCESS"," roads of destiny "
"246","21767.txt","SUCCESS"," agatha's husband a novel "
"247","2675.txt","SUCCESS"," burlesques "
"248","343.txt","SUCCESS"," fables "
"249","434.txt","SUCCESS"," the circular staircase "
"250","546.txt","SUCCESS"," under the andes "
"251","12181.txt","FAILURE"," the story of bessie costrell "
"252","12935.txt","FAILURE"," the song of the blood-red flower "
"253","1367.txt","FAILURE"," findelkind "
"254","15123.txt","FAILURE"," david lockwin�the people's idol "
"255","15315.txt","FAILURE"," ""gladys"
"256","16398.txt","FAILURE"," what necessity knows "
"257","16993.txt","FAILURE"," miss dexie a romance of the provinces "
"258","19173.txt","FAILURE"," the cow puncher "
"259","21690.txt","FAILURE"," ""flint his faults"
"260","9087.txt","FAILURE"," eleanor "
"261","1204.txt","SUCCESS"," cabin fever "
"262","13541.txt","SUCCESS"," ""the collected works of ambrose bierce"
"263","14420.txt","SUCCESS"," the exemplary novels of cervantes "
"264","1743.txt","SUCCESS"," twelve stories and a dream "
"265","222.txt","SUCCESS"," moon and sixpence "
"266","2684.txt","SUCCESS"," five tales "
"267","325.txt","SUCCESS"," ""phantastes"
"268","346.txt","SUCCESS"," the troll garden and selected stories "
"269","351.txt","SUCCESS"," of human bondage "
"270","524.txt","SUCCESS"," ""ann veronica"
"271","12972.txt","FAILURE"," people like that a novel "
"272","14425.txt","FAILURE"," ""mona or"
"273","15179.txt","FAILURE"," the inner sisterhood a social study in high colors "
"274","15382.txt","FAILURE"," jess of the rebel trail "
"275","16803.txt","FAILURE"," lydia of the pines "
"276","20462.txt","FAILURE"," ""ernest linwood or"
"277","22205.txt","FAILURE"," in direst peril "
"278","22206.txt","FAILURE"," ""an old meerschaum from coals of fire and other stories"
"279","23106.txt","FAILURE"," ""helen and arthur or"
"280","9926.txt","FAILURE"," ""the two guardians or"
"281","1097.txt","SUCCESS"," mrs. warren's profession "
"282","1213.txt","SUCCESS"," the man that corrupted hadleyburg "
"283","1354.txt","SUCCESS"," chronicles of avonlea "
"284","142.txt","SUCCESS"," ""the 30"
"285","144.txt","SUCCESS"," the voyage out "
"286","1840.txt","SUCCESS"," ""the financier"
"287","1848.txt","SUCCESS"," montezuma's daughter "
"288","22480.txt","SUCCESS"," the prussian officer "
"289","294.txt","SUCCESS"," the captain of the polestar "
"290","8496.txt","SUCCESS"," the quest "
"291","13178.txt","FAILURE"," broken to the plow a novel "
"292","14490.txt","FAILURE"," a daughter of to-day "
"293","14523.txt","FAILURE"," sister carmen "
"294","15430.txt","FAILURE"," the lever a novel "
"295","16497.txt","FAILURE"," the moon out of reach "
"296","16574.txt","FAILURE"," the twins a domestic novel "
"297","18052.txt","FAILURE"," medoline selwyn's work "
"298","20235.txt","FAILURE"," heart a social novel "
"299","2685.txt","FAILURE"," the way to peace "
"300","9967.txt","FAILURE"," mr. waddington of wyck "
"301","11228.txt","SUCCESS"," the marrow of tradition "
"302","11413.txt","SUCCESS"," the refugees a tale of two continents "
"303","17221.txt","SUCCESS"," history of the plague in london "
"304","1880.txt","SUCCESS"," ""pathfinder; or"
"305","2275.txt","SUCCESS"," the pioneers "
"306","2845.txt","SUCCESS"," sir nigel "
"307","30344.txt","SUCCESS"," the fortunate mistress (parts 1 and 2) or a history of the life of mademoiselle de beleau known by the name of the lady roxana "
"308","30723.txt","SUCCESS"," fathers and children "
"309","7037.txt","SUCCESS"," beric the briton : a story of the roman invasion "
"310","7060.txt","SUCCESS"," at agincourt "
"311","10094.txt","FAILURE"," a soldier of virginia a tale of colonel washington and braddock's defeat "
"312","12558.txt","FAILURE"," ""snarleyyow"
"313","12959.txt","FAILURE"," newton forster "
"314","14656.txt","FAILURE"," the sword maker "
"315","18182.txt","FAILURE"," ""heralds of empire being the story of one ramsay stanhope"
"316","20418.txt","FAILURE"," lords of the north "
"317","2059.txt","FAILURE"," the little shepherd of kingdom come "
"318","22304.txt","FAILURE"," nicanor - teller of tales a story of roman britain "
"319","3339.txt","FAILURE"," the wandering jew � volume 01 "
"320","3340.txt","FAILURE"," the wandering jew � volume 02 "
"321","135.txt","SUCCESS"," les mis�rables "
"322","17460.txt","SUCCESS"," lorna doone a romance of exmoor "
"323","19194.txt","SUCCESS"," rebel raider "
"324","2600.txt","SUCCESS"," war and peace "
"325","2610.txt","SUCCESS"," notre-dame de paris "
"326","2853.txt","SUCCESS"," quo vadis: a narrative of the time of nero "
"327","369.txt","SUCCESS"," the outlaw of torn "
"328","467.txt","SUCCESS"," the princess of cleves "
"329","8123.txt","SUCCESS"," the virginians "
"330","840.txt","SUCCESS"," lorna doone; a romance of exmoor "
"331","10455.txt","FAILURE"," a golden book of venice "
"332","13215.txt","FAILURE"," edwy the fair or the first chronicle of aescendune a tale of the days of saint dunstan "
"333","15228.txt","FAILURE"," lady good-for-nothing a man's portrait of a woman "
"334","16890.txt","FAILURE"," hetty wesley "
"335","17012.txt","FAILURE"," the house of walderne a tale of the cloister and the forest in the days of the barons' wars "
"336","19485.txt","FAILURE"," the long night "
"337","20911.txt","FAILURE"," the rose of old st. louis "
"338","22334.txt","FAILURE"," in kings' byways "
"339","23675.txt","FAILURE"," under the rose "
"340","24120.txt","FAILURE"," ""the hour and the man"
"341","15868.txt","SUCCESS"," the man without a country and other tales "
"342","1606.txt","SUCCESS"," kenilworth "
"343","1752.txt","SUCCESS"," ""el dorado"
"344","1947.txt","SUCCESS"," scaramouche "
"345","1965.txt","SUCCESS"," captain blood "
"346","2785.txt","SUCCESS"," the elusive pimpernel "
"347","2948.txt","SUCCESS"," where angels fear to tread "
"348","3942.txt","SUCCESS"," the confession of a child of the century � complete "
"349","4537.txt","SUCCESS"," sylvia's lovers � complete "
"350","471.txt","SUCCESS"," the bride of lammermoor "
"351","12256.txt","FAILURE"," mistress penwick "
"352","12270.txt","FAILURE"," the doomswoman an historical romance of old california "
"353","13315.txt","FAILURE"," a prince of cornwall a story of glastonbury and the west in the days of ina of wessex "
"354","13438.txt","FAILURE"," a king's comrade a story of old hereford "
"355","15470.txt","FAILURE"," inez a tale of the alamo "
"356","20219.txt","FAILURE"," the lion's brood "
"357","22779.txt","FAILURE"," ""the false chevalier or"
"358","24140.txt","FAILURE"," the northern iron "
"359","4534.txt","FAILURE"," sylvia's lovers � volume 1 "
"360","9869.txt","FAILURE"," the confession of a child of the century "
"361","1184.txt","SUCCESS"," the count of monte cristo "
"362","1257.txt","SUCCESS"," the three musketeers "
"363","1692.txt","SUCCESS"," 1492 "
"364","1837.txt","SUCCESS"," the prince and the pauper "
"365","2145.txt","SUCCESS"," ben-hur; a tale of the christ "
"366","24680.txt","SUCCESS"," the martyr of the catacombs a tale of ancient rome "
"367","26282.txt","SUCCESS"," the witch of salem or credulity run mad "
"368","421.txt","SUCCESS"," kidnapped "
"369","6308.txt","SUCCESS"," hypatia � or new foes with an old face "
"370","848.txt","SUCCESS"," the black arrow "
"371","11534.txt","FAILURE"," the lions of the lord a tale of the old west "
"372","12560.txt","FAILURE"," port o' gold a history-romance of the san francisco argonauts "
"373","13404.txt","FAILURE"," tom tufton's travels "
"374","15534.txt","FAILURE"," children of the market place "
"375","17183.txt","FAILURE"," atm� a romance "
"376","2029.txt","FAILURE"," lahoma "
"377","2139.txt","FAILURE"," ""alvira"
"378","22902.txt","FAILURE"," ""the liberty boys running the blockade or"
"379","24417.txt","FAILURE"," the forest king wild hunter of the adaca "
"380","7155.txt","FAILURE"," ""the prince and the pauper"
"381","1261.txt","SUCCESS"," betty zane "
"382","1711.txt","SUCCESS"," child of storm "
"383","1842.txt","SUCCESS"," ""michael strogoff or"
"384","20840.txt","SUCCESS"," rebel spurs "
"385","24020.txt","SUCCESS"," romola "
"386","25344.txt","SUCCESS"," the scarlet letter "
"387","26240.txt","SUCCESS"," the clansman an historical romance of the ku klux klan "
"388","30486.txt","SUCCESS"," shirley "
"389","463.txt","SUCCESS"," the red badge of courage "
"390","917.txt","SUCCESS"," barnaby rudge: a tale of the riots of 'eighty "
"391","11379.txt","FAILURE"," round anvil rock a romance "
"392","11690.txt","FAILURE"," calvert of strathore "
"393","12725.txt","FAILURE"," ""the vale of cedars or"
"394","15808.txt","FAILURE"," ""the history of richard raynal"
"395","1665.txt","FAILURE"," ""derrick vaughan"
"396","17690.txt","FAILURE"," the master of appleby a novel tale concerning itself in part with the great struggle in the two carolinas; but chiefly with the adventures therein of two gentlemen who loved one and the same lady "
"397","21234.txt","FAILURE"," the gold that glitters the mistakes of jenny lavender "
"398","21492.txt","FAILURE"," a true hero a story of the days of william penn "
"399","22942.txt","FAILURE"," clare avery a story of the spanish armada "
"400","24483.txt","FAILURE"," the justice of the king "
"401","1028.txt","SUCCESS"," the professor "
"402","1260.txt","SUCCESS"," jane eyre "
"403","145.txt","SUCCESS"," middlemarch "
"404","157.txt","SUCCESS"," daddy-long-legs "
"405","17460.txt","SUCCESS"," lorna doone a romance of exmoor "
"406","19782.txt","SUCCESS"," daddy-long-legs "
"407","2834.txt","SUCCESS"," the portrait of a lady � volume 2 "
"408","29452.txt","SUCCESS"," ""the wings of the dove"
"409","507.txt","SUCCESS"," adam bede "
"410","840.txt","SUCCESS"," lorna doone; a romance of exmoor "
"411","10452.txt","FAILURE"," peter's mother "
"412","11379.txt","FAILURE"," round anvil rock a romance "
"413","12971.txt","FAILURE"," the man in lonely land "
"414","14153.txt","FAILURE"," westways a village chronicle "
"415","15406.txt","FAILURE"," the little red chimney being the love story of a candy man "
"416","17301.txt","FAILURE"," on with torchy "
"417","18902.txt","FAILURE"," flood tide "
"418","20661.txt","FAILURE"," the romance of an old fool "
"419","21099.txt","FAILURE"," more about peggy "
"420","21120.txt","FAILURE"," the fortunes of the farrells "
"421","107.txt","SUCCESS"," far from the madding crowd "
"422","122.txt","SUCCESS"," the return of the native "
"423","1476.txt","SUCCESS"," chance: a tale in two parts "
"424","17498.txt","SUCCESS"," ""when knighthood was in flower or"
"425","20533.txt","SUCCESS"," jill the reckless "
"426","22002.txt","SUCCESS"," a simple story "
"427","23506.txt","SUCCESS"," chance: a tale in two parts "
"428","23727.txt","SUCCESS"," the lost girl "
"429","4075.txt","SUCCESS"," the intrusion of jimmy "
"430","4240.txt","SUCCESS"," women in love "
"431","10608.txt","FAILURE"," ""the turquoise cup"
"432","11912.txt","FAILURE"," the brown study "
"433","13071.txt","FAILURE"," helena "
"434","14406.txt","FAILURE"," the intriguers "
"435","16343.txt","FAILURE"," beth woodburn "
"436","17690.txt","FAILURE"," the master of appleby a novel tale concerning itself in part with the great struggle in the two carolinas; but chiefly with the adventures therein of two gentlemen who loved one and the same lady "
"437","19411.txt","FAILURE"," the woman's way "
"438","20901.txt","FAILURE"," in apple-blossom time a fairy-tale to date "
"439","21625.txt","FAILURE"," play the game! "
"440","24910.txt","FAILURE"," the last woman "
"441","11640.txt","SUCCESS"," love and mr. lewisham "
"442","1245.txt","SUCCESS"," night and day "
"443","1250.txt","SUCCESS"," anthem "
"444","1845.txt","SUCCESS"," ""zuleika dobson"
"445","2070.txt","SUCCESS"," to the last man "
"446","3155.txt","SUCCESS"," she "
"447","467.txt","SUCCESS"," the princess of cleves "
"448","4684.txt","SUCCESS"," the u. p. trail "
"449","583.txt","SUCCESS"," the woman in white "
"450","805.txt","SUCCESS"," this side of paradise "
"451","10932.txt","FAILURE"," over the pass "
"452","12557.txt","FAILURE"," the penalty "
"453","13282.txt","FAILURE"," the island of faith "
"454","14708.txt","FAILURE"," the laurel bush an old-fashioned love story "
"455","16497.txt","FAILURE"," the moon out of reach "
"456","17891.txt","FAILURE"," evelina's garden "
"457","21095.txt","FAILURE"," ""she and i"
"458","21096.txt","FAILURE"," ""she and i"
"459","21834.txt","FAILURE"," the black colonel "
"460","26135.txt","FAILURE"," love at paddington "
"461","121.txt","SUCCESS"," northanger abbey "
"462","12280.txt","SUCCESS"," the grandissimes "
"463","16389.txt","SUCCESS"," the enchanted april "
"464","18883.txt","SUCCESS"," the four feathers "
"465","21094.txt","SUCCESS"," the girl in the golden atom "
"466","23810.txt","SUCCESS"," at fault "
"467","35247.txt","SUCCESS"," that affair at elizabeth "
"468","6784.txt","SUCCESS"," love and intrigue "
"469","883.txt","SUCCESS"," our mutual friend "
"470","963.txt","SUCCESS"," little dorrit "
"471","11106.txt","FAILURE"," the girl at cobhurst "
"472","12639.txt","FAILURE"," spanish doubloons "
"473","13396.txt","FAILURE"," sweetapple cove "
"474","14854.txt","FAILURE"," martha by-the-day "
"475","16699.txt","FAILURE"," glen of the high north "
"476","18057.txt","FAILURE"," flower of the dusk "
"477","19798.txt","FAILURE"," the farringdons "
"478","19861.txt","FAILURE"," the lady paramount "
"479","22076.txt","FAILURE"," the second chance "
"480","504.txt","FAILURE"," the fifth string "
"481","1399.txt","SUCCESS"," anna karenina "
"482","166.txt","SUCCESS"," summer "
"483","19500.txt","SUCCESS"," can you forgive her? "
"484","21415.txt","SUCCESS"," ""the young visiters or"
"485","24000.txt","SUCCESS"," miss mackenzie "
"486","3957.txt","SUCCESS"," l'abbe constantin � complete "
"487","471.txt","SUCCESS"," the bride of lammermoor "
"488","541.txt","SUCCESS"," the age of innocence "
"489","768.txt","SUCCESS"," wuthering heights "
"490","966.txt","SUCCESS"," maid marian "
"491","11166.txt","FAILURE"," for gold or soul? the story of a great department store "
"492","12876.txt","FAILURE"," a young girl's wooing "
"493","13679.txt","FAILURE"," andrew the glad "
"494","15243.txt","FAILURE"," over paradise ridge a romance "
"495","16777.txt","FAILURE"," the heart of the desert kut-le of the desert "
"496","18426.txt","FAILURE"," sunny slopes "
"497","20563.txt","FAILURE"," terry a tale of the hill people "
"498","23695.txt","FAILURE"," the little gray lady 1909 "
"499","24771.txt","FAILURE"," tutors' lane "
"500","787.txt","FAILURE"," ""the man between"
"501","12843.txt","SUCCESS"," poems household edition "
"502","1322.txt","SUCCESS"," leaves of grass "
"503","15963.txt","SUCCESS"," may-day and other pieces "
"504","22531.txt","SUCCESS"," amores poems "
"505","23394.txt","SUCCESS"," look! we have come through! "
"506","2665.txt","SUCCESS"," the professor at the breakfast-table "
"507","2666.txt","SUCCESS"," the poet at the breakfast-table "
"508","27494.txt","SUCCESS"," the patriotic poems of walt whitman "
"509","5720.txt","SUCCESS"," a shropshire lad "
"510","791.txt","SUCCESS"," the princess "
"511","10457.txt","FAILURE"," the lonely dancer and other poems "
"512","11215.txt","FAILURE"," poems (1828) "
"513","11983.txt","FAILURE"," poetic sketches a collection of miscellaneous poetry "
